"Language / Locale","Language Name","App Title (Max 30)","Short Description (Max 80)","Full Description (Max 4000)"
"en-US","English (United States)","Beam: TV File Manager","Fast wireless file transfer, APK installer, and storage manager for Android TV.","Beam is the fast, modern, and wireless file manager built specifically for Android TV and Google TV.

Seamlessly transfer APKs, movies, videos, music, photos, and documents between your TV and any phone, tablet, or PC on your local Wi-Fi network—no cables, USB flash drives, or cloud uploads required.

Key Features:

1. Instant Wireless File Transfer (Web Beam)
• Scan the on-screen QR code or enter the local IP address in any web browser.
• Send large video files, APKs, and documents to your TV at high local Wi-Fi speeds.
• Zero internet bandwidth consumed—all transfers are 100% private and stay on your local network.

2. Complete TV File Explorer & Storage Management
• Easily browse internal storage and connected external USB drives.
• Categorize media into Videos, Music, Photos, APKs, Documents, and Archives.
• Perform single and batch operations: Move, Rename, Delete, and Inspect file integrity (SHA-256 hash).
• Storage overview indicator alerts you before space runs low.

3. APK Installer & App Management
• Direct side-loading and installation of APK applications sent from your phone or PC.
• View APK package details, version numbers, and icons directly on your TV.

4. Remote Clipboard & Text Stream
• Paste long URLs, passwords, and text snippets from your phone to your TV screen instantly.
• Open shared links directly with one click.

5. Designed Exclusively for Android TV
• 100% optimized for TV remotes and D-pad controllers.
• Built-in TV Power Saver overlay to prevent screen burn-in and conserve energy.
• Clean, high-contrast dark theme designed for large screen viewing.

Privacy & Security:
Beam operates completely on your local network. Your files and personal data are never uploaded to external servers or third-party cloud services.

How to Use:
1. Ensure your TV and phone/PC are connected to the same Wi-Fi network.
2. Open Beam on your TV to view the QR code and IP address.
3. Open the link on your mobile or computer browser, select files, and start beaming!"
"vi-VN","Vietnamese","Beam: Quản lý tệp TV","Truyền tệp không dây, cài đặt APK và quản lý bộ nhớ cho Android TV.","Beam là ứng dụng quản lý và truyền tệp không dây hiện đại, tốc độ cao được thiết kế riêng cho Android TV và Google TV.

Dễ dàng chuyển tệp cài đặt APK, phim, video, bài hát, hình ảnh và tài liệu giữa TV với điện thoại, máy tính bảng hoặc PC qua mạng Wi-Fi nội bộ mà không cần cáp nối hay USB.

Các tính năng nổi bật:

1. Truyền tệp không dây siêu tốc (Web Beam)
• Quét mã QR trên màn hình TV hoặc nhập địa chỉ IP vào trình duyệt web bất kỳ.
• Gửi video dung lượng lớn, ứng dụng APK và tài liệu với tốc độ Wi-Fi tối đa.
• Hoàn toàn riêng tư: dữ liệu chỉ truyền nội bộ trong mạng gia đình, không tốn băng thông internet.

2. Quản lý bộ nhớ và duyệt tệp toàn diện
• Xem tổng quan dung lượng bộ nhớ trong và ổ đĩa USB cắm ngoài.
• Tự động phân loại: Video, Nhạc, Hình ảnh, APK, Tài liệu và Tệp nén.
• Hỗ trợ thao tác hàng loạt: Di chuyển, Đổi tên, Xóa và kiểm tra tính toàn vẹn tệp (mã băm SHA-256).

3. Trình cài đặt APK chuyên dụng cho TV
• Cài đặt trực tiếp các ứng dụng APK được truyền từ điện thoại hoặc máy tính.
• Xem thông tin phiên bản, tên gói và biểu tượng ứng dụng rõ ràng.

4. Bảng tạm từ xa (Remote Clipboard)
• Gửi nhanh văn bản, liên kết web hoặc mật khẩu dài từ điện thoại lên màn hình TV.
• Mở trực tiếp liên kết chỉ với một nút bấm trên điều khiển.

5. Tối ưu hoàn hảo cho Android TV
• Điều khiển mượt mà 100% bằng Remote TV / cụm phím điều hướng D-Pad.
• Chế độ bảo vệ màn hình (Power Saver) giúp tiết kiệm điện và chống lưu ảnh OLED.
• Giao diện tối tương phản cao, tối ưu cho màn hình lớn.

Bảo mật & Quyền riêng tư:
Beam chỉ hoạt động trong mạng cục bộ của bạn. Tệp và dữ liệu không bao giờ bị tải lên máy chủ bên ngoài hay dịch vụ đám mây của bên thứ ba.

Hướng dẫn sử dụng:
1. Kết nối TV và điện thoại/PC vào cùng một mạng Wi-Fi.
2. Mở ứng dụng Beam trên TV để lấy mã QR và địa chỉ IP.
3. Mở liên kết trên trình duyệt web của điện thoại/PC, chọn tệp và gửi ngay!"
"es-419","Spanish (Latin America)","Beam: Gestor Archivos TV","Transferencia inalámbrica de archivos, instalador APK y gestor para Android TV.","Beam es el gestor y transmisor de archivos inalámbrico diseñado especialmente para Android TV y Google TV.

Transfiera fácilmente APKs, películas, videos, música, fotos y documentos entre su TV y cualquier teléfono, tableta o PC en su red Wi-Fi local, sin cables ni memorias USB.

Características principales:

1. Transferencia inalámbrica ultrarrápida (Web Beam)
• Escanee el código QR en la pantalla o abra la dirección IP en cualquier navegador.
• Envíe archivos grandes, videos y APKs a máxima velocidad Wi-Fi local.
• 100% privado: las transferencias no consumen internet ni pasan por servidores externos.

2. Explorador de archivos y gestor de almacenamiento
• Explore la memoria interna y unidades USB externas conectadas a su TV.
• Categorías organizadas: Videos, Música, Fotos, APKs, Documentos y Comprimidos.
• Operaciones individuales y por lotes: Mover, Renombrar, Eliminar y verificación SHA-256.

3. Instalador de APKs para TV
• Instale directamente aplicaciones APK enviadas desde su teléfono o computadora.
• Visualice versión, nombre del paquete e íconos en pantalla grande.

4. Portapapeles remoto y transmisión de texto
• Pegue enlaces largos, contraseñas y texto desde su teléfono directo a su TV.
• Abra enlaces compartidos con un solo clic en el control remoto.

5. Diseñado para Android TV
• Compatible al 100% con control remoto y botones D-Pad.
• Modo de ahorro de energía para proteger pantallas OLED.
• Tema oscuro de alto contraste optimizado para televisores.

Privacidad garantizada:
Beam funciona exclusivamente en su red local. Sus archivos nunca se suben a la nube.

Cómo usar:
1. Conecte su TV y teléfono/PC al mismo Wi-Fi.
2. Abra Beam en su TV para ver el código QR y la IP.
3. Abra el enlace en su navegador, elija los archivos y transmita al instante."
"es-ES","Spanish (Spain)","Beam: Gestor Archivos TV","Transferencia inalámbrica de archivos, instalador APK y gestor para Android TV.","Beam es el gestor y transmisor de archivos inalámbrico diseñado para Android TV y Google TV.

Transfiera APKs, películas, música, fotos y documentos entre su televisor y cualquier móvil o PC conectado a su red Wi-Fi local, sin cables ni unidades USB.

Características destacadas:

1. Transferencia inalámbrica de alta velocidad
• Escanee el código QR o introduzca la IP en su navegador web.
• Envíe archivos pesados y APKs con velocidad Wi-Fi local.
• Privacidad total: sin consumo de datos de internet ni servidores en la nube.

2. Explorador de archivos para TV
• Gestione el almacenamiento interno y dispositivos USB conectados.
• Clasificación automática: Vídeos, Música, Fotos, APKs, Documentos y ZIP.
• Acciones por lotes: Mover, Renombrar, Borrar y comprobación SHA-256.

3. Instalación de aplicaciones APK
• Instale aplicaciones transferidas directamente en su televisor.
• Visualización de versión y detalles del paquete.

4. Portapapeles remoto
• Envíe texto, enlaces y credenciales desde su móvil al televisor al instante.

5. Optimizado para mando a distancia
• Navegación fluida con mando a distancia (D-Pad).
• Salvapantallas integrado para ahorrar energía y proteger paneles OLED.

Privacidad y seguridad:
Beam opera únicamente en su red doméstica. Sus datos personales no salen de sus dispositivos."
"pt-BR","Portuguese (Brazil)","Beam: Gerenciador de TV","Transferência sem fio de arquivos, instalador de APK e gestão no Android TV.","Beam é o gerenciador e transmissor de arquivos sem fio feito para Android TV e Google TV.

Transfira APKs, filmes, vídeos, músicas, fotos e documentos entre sua TV e qualquer celular ou PC na sua rede Wi-Fi local, sem cabos nem pen drives.

Recursos principais:

1. Transferência sem fio de alta velocidade
• Escaneie o código QR na TV ou digite o IP no navegador web.
• Envie vídeos pesados e APKs com velocidade máxima de rede local.
• 100% privado: não consome internet nem envia dados para a nuvem.

2. Explorador de arquivos e armazenamento
• Navegue pelo armazenamento interno e pendrives USB conectados.
• Categorias automáticas: Vídeos, Músicas, Fotos, APKs, Documentos e Arquivos ZIP.
• Ações individuais e em lote: Mover, Renomear, Excluir e verificação de hash SHA-256.

3. Instalador de APKs
• Instale aplicativos APK enviados do celular ou computador diretamente na TV.

4. Área de transferência remota
• Envie links, textos e senhas do celular para a TV instantaneamente.

5. Otimizado para controle remoto
• Navegação 100% adaptada para controles D-Pad de TV.
• Modo de economia de energia com proteção contra burn-in em telas OLED."
"fr-FR","French (France)","Beam: Gestionnaire TV","Transfert de fichiers sans fil, installateur APK et stockage pour Android TV.","Beam est le gestionnaire de fichiers sans fil rapide conçu pour Android TV et Google TV.

Transférez facilement vos fichiers APK, films, vidéos, musiques, photos et documents entre votre téléviseur et votre téléphone ou PC via votre réseau Wi-Fi local, sans câble ni clé USB.

Fonctionnalités clés :

1. Transfert sans fil instantané (Web Beam)
• Scannez le code QR sur votre écran de télévision ou saisissez l'adresse IP dans un navigateur.
• Transférez de gros fichiers vidéo et des APK à pleine vitesse Wi-Fi locale.
• Totalement privé : vos fichiers restent sur votre réseau local sans passer par le cloud.

2. Explorateur de fichiers complet pour TV
• Parcourez la mémoire interne et les clés USB connectées.
• Catégories automatiques : Vidéos, Musique, Photos, APK, Documents et Archives ZIP.
• Actions par lot : Déplacer, Renommer, Supprimer et vérification d'intégrité SHA-256.

3. Installateur d'applications APK
• Installez directement les fichiers APK envoyés depuis votre smartphone ou ordinateur.

4. Presse-papiers à distance
• Envoyez des liens web, du texte ou des mots de passe depuis votre téléphone vers la TV.

5. Optimisé pour télécommande
• Navigation fluide et intuitive au pavé directionnel (D-Pad).
• Économiseur d'énergie intégré pour préserver les écrans OLED."
"de-DE","German","Beam: TV Dateimanager","Kabelloser Dateitransfer, APK-Installer und Speicherverwaltung für Android TV.","Beam ist der schnelle, moderne und kabellose Dateimanager speziell für Android TV und Google TV.

Übertragen Sie APKs, Filme, Videos, Musik, Fotos und Dokumente zwischen Ihrem Fernseher und Smartphones, Tablets oder PCs über Ihr lokales WLAN – ohne Kabel oder USB-Sticks.

Hauptfunktionen:

1. Schneller kabelloser Dateitransfer
• QR-Code auf dem TV scannen oder IP-Adresse im Browser eingeben.
• Große Videodateien und APKs mit voller WLAN-Geschwindigkeit übertragen.
• 100% privat: Keine Cloud-Speicherung, Daten bleiben im lokalen Netzwerk.

2. Vollständiger Dateiexplorer für Android TV
• Durchsuchen Sie internen Speicher und angeschlossene USB-Laufwerke.
• Automatische Kategorien: Videos, Musik, Fotos, APKs, Dokumente und ZIP-Archive.
• Stapelaktionen: Verschieben, Umbenennen, Löschen und SHA-256-Prüfung.

3. APK-Installer für TV
• Direkte Installation von APK-Dateien, die von Telefon oder PC übertragen wurden.

4. Remote-Zwischenablage
• URLs, Passwörter und Texteingaben blitzschnell vom Smartphone an den TV senden.

5. Perfekt optimiert für TV-Fernbedienungen
• Intuitive Steuerung über D-Pad-Fernbedienungen.
• Integrierter Energiesparmodus zum Schutz von OLED-Displays."
"ja-JP","Japanese","Beam: TVファイルマネージャー","Android TV用の高速ワイヤレスファイル転送、APKインストーラー、ストレージ管理ツール。","Beamは、Android TVおよびGoogle TV専用に設計された高速でモダンなワイヤレスファイルマネージャーです。

USBメモリやケーブルを使わずに、スマホやPCからテレビへ映画、動画、音楽、写真、ドキュメント、APKアプリをWi-Fi経由で簡単に転送できます。

主な機能：

1. 高速ワイヤレス転送（Web Beam）
• テレビ画面のQRコードを読み取るか、ブラウザにIPアドレスを入力するだけ。
• 大容量動画やAPKファイルを高速ローカルWi-Fiで直接転送。
• クラウドを経由しないため、インターネット通信量を消費せず完全プライベート。

2. TVファイルエクスプローラー＆ストレージ管理
• テレビの内部ストレージおよび接続されたUSBドライブを快適にブラウズ。
• 動画、音楽、写真、APK、ドキュメント、圧縮ファイル別に自動分類。
• 移動、名前変更、削除、一括操作、SHA-256ハッシュ検証に対応。

3. APKインストーラー
• スマホやPCから送信したAPKアプリをテレビ上で直接インストール可能。

4. リモートクリップボード＆テキスト送信
• スマホから長いURLやパスワードをテレビ画面へ瞬時に送信。

5. Android TVリモコン専用設計
• D-Pad（十字キー）リモコンで直感的に操作可能。
• 有機ELディスプレイの焼き付きを防止する省電力スクリーンセーバー機能を搭載。"
"zh-CN","Chinese (Simplified)","Beam: 电视文件管理器","专为Android TV打造的高速无线文件传输、APK安装与存储管理工具。","Beam 是一款专为 Android TV 和 Google TV 设计的现代化高速无线文件管理工具。

无需数据线或 U 盘，即可通过局域网 Wi-Fi 在电视与手机、平板或电脑之间轻松传输 APK 安装包、电影、视频、音乐、照片和各类文档。

核心功能：

1. 极速无线文件传输 (Web Beam)
• 扫描电视屏幕上的二维码或在电脑/手机浏览器中输入局域网 IP。
• 高速传输大容量视频与应用安装包。
• 纯局域网传输，无需联网上传云端，完全保护您的隐私。

2. 电视文件浏览器与存储管理
• 轻松浏览电视内部存储及外接 USB 移动硬盘/U 盘。
• 智能分类：视频、音乐、图片、APK、文档与压缩包。
• 支持移动、重命名、删除、批量操作及 SHA-256 文件完整性校验。

3. APK 应用安装器
• 直接安装从手机或电脑传输到电视上的 APK 应用包。

4. 远程剪贴板与文本传输
• 从手机快速发送长网址、文本和密码到电视屏幕。

5. 专为电视遥控器深度优化
• 完美支持方向键（D-Pad）与遥控器交互。
• 内置电视省电模式，有效保护 OLED 屏幕防烧屏。"
"zh-TW","Chinese (Traditional)","Beam: 電視檔案管理器","專為Android TV打造的高速無線檔案傳輸、APK安裝與儲存空間管理工具。","Beam 是一款專為 Android TV 和 Google TV 量身打造的現代化高速無線檔案管理工具。

告別隨身碟與傳輸線，透過區域網路 Wi-Fi 即可在電視與手機、平板或電腦之間快速傳輸 APK 安裝檔、電影、影片、音樂、相片與文件。

核心功能：

1. 極速無線檔案傳輸 (Web Beam)
• 掃描電視螢幕上的 QR Code 或在瀏覽器輸入 IP 位址。
• 高速傳輸高畫質影片與大型應用程式檔案。
• 區域網路直接連線，不佔用外網頻寬，保障隱私與安全。

2. 電視檔案瀏覽與空間管理
• 輕鬆瀏覽電視內部儲存空間與外接 USB 隨身碟。
• 智慧分類：影片、音樂、圖片、APK、文件與壓縮檔。
• 支援搬移、重新命名、刪除、批次處理及 SHA-256 雜湊值校驗。

3. APK 應用程式安裝器
• 直接安裝由手機或電腦傳送到電視的 APK 安裝檔。

4. 遠端剪貼簿與文字傳送
• 從手機一鍵傳送長網址、文字或密碼至電視螢幕。

5. 專為電視遙控器最佳化
• 完美適配遙控器方向鍵（D-Pad）操作。
• 內建電視省電保護模式，防止 OLED 螢幕烙印。"
